text,urgency,request_type
Давно не был у стоматолога — хочу плановый осмотр.,Плановое,Запись на прием
"Срочно! Зрение ухудшилось за последний месяц, запишите к офтальмологу.",Срочное,Запись на прием
"Здравствуйте! Отец жалуется на онемение лица и руки, речь стала непонятной. Инсульт?",Экстренное,Перенаправление в экстренные службы
Хочу пройти флюорографию — куда обратиться?,Плановое,Запись на прием
Помогите! Можно ли смешивать разные мультивитамины?,Консультационное,Консультация или вопрос
Эпилепсия под контролем — плановый визит невролога.,Плановое,Наблюдение
Ребёнок 3 года плохо ест — это нормально или нужно к врачу? Очень беспокоюсь.,Консультационное,Консультация или вопрос
Хочу обсудить с кардиологом результаты ЭКГ — ничего не понял. Буду благодарен.,Консультационное,Запись на прием
У меня сухая кожа — это дерматологическая проблема или норма? Это опасно?,Консультационное,Консультация или вопрос
"Помогите пожалуйста. Ребёнок не ест 2 дня, вялый, температура 37.8, понос. Аллергии нет.",Срочное,Вызов врача
Псориаз — плановый визит к дерматологу для оценки ремиссии.,Плановое,Наблюдение
"Здравствуйте! Острый приступ подагры — нога опухла, красная, жар невыносимый. Очень беспокоюсь.",Экстренное,Вызов врача
Плановое УЗИ органов брюшной полости — направление нужно?,Плановое,Запись на прием
Привет! Нужна консультация нутрициолога по рациону ребёнка. Мне 52 года.,Плановое,Запись на прием
Здравствуйте! Ребёнок со сколиозом — плановый осмотр ортопеда раз в 6 мес. Мне 52 года.,Плановое,Наблюдение
Хочу получить направление к специалисту от терапевта.,Консультационное,Запись на прием
"Помогите! Падение с высоты 2 метра, сознание есть, но боль в спине.",Экстренное,Вызов врача
Консультация ортопеда по поводу плоскостопия у ребёнка. У меня диабет.,Консультационное,Запись на прием
"Срочно! Мне 40 лет, хочу пройти полное обследование профилактически. Очень беспокоюсь.",Плановое,Запись на прием
"Ребёнок 1 год горит — 40.5, вялый, не реагирует нормально.",Экстренное,Вызов врача
Справка для занятий спортом ребёнку от педиатра. Что посоветуете?,Плановое,Запись на прием
Запись к психиатру на первичную консультацию — не срочно. Мужу 68 лет.,Консультационное,Запись на прием
"Внезапная слепота на один глаз, сейчас прошло но было минут 10. Как быть?",Экстренное,Перенаправление в экстренные службы
"Здравствуйте! Сломал шею упав с лестницы, не чувствую ноги, не двигаются. Что посоветуете?",Экстренное,Перенаправление в экстренные службы
Нужна справка для работы — когда можно прийти к терапевту? Это опасно?,Плановое,Запись на прием
Можно ли пить алкоголь во время приёма антибиотиков? Нужна ваша помощь.,Консультационное,Консультация или вопрос
Добрый день! Псориаз — плановый визит к дерматологу для оценки ремиссии.,Плановое,Наблюдение
Добрый день! Нужна консультация нутрициолога по рациону ребёнка. Прошу помочь.,Плановое,Запись на прием
Добрый день! Частые носовые кровотечения у ребёнка — к ЛОР или гематологу? Что делать?,Срочное,Запись на прием
Нужна справка в санаторий от терапевта и кардиолога.,Плановое,Запись на прием
Хочу получить второе мнение по поставленному диагнозу. Нужна ваша помощь.,Консультационное,Запись на прием
Срочно! Хочу пройти профилактический чекап — с чего начать? Как быть?,Плановое,Запись на прием
"Утопление — вытащили из воды, откачиваем, нужна скорая. Буду благодарен.",Экстренное,Перенаправление в экстренные службы
"Добрый день! Ребёнок порезал ладонь глубоко, наложили повязку, кровит.",Срочное,Вызов врача
"Мне 40 лет, хочу пройти полное обследование профилактически.",Плановое,Запись на прием
"Срочно! Приступ эпилепсии прошёл, но пациент вялый и не в себе.",Срочное,Вызов врача
Добрый день! После удаления желчного — плановое УЗИ и консультация хирурга.,Плановое,Наблюдение
"После укуса клеща — покраснение расширяется, беспокоит.",Срочное,Вызов врача
Срочно! Слух снизился на одно ухо — нужен ЛОР срочно.,Срочное,Запись на прием
Планирую беременность — хочу пройти обследование заранее. Подскажите пожалуйста.,Плановое,Запись на прием
Помогите пожалуйста. Мониторинг МРТ головного мозга через год после лечения. Прошу помочь.,Плановое,Наблюдение
"Острый психоз — брат угрожает причинить себе вред, заперся в комнате.",Экстренное,Перенаправление в экстренные службы
Резкая потеря веса без причины — хочу записаться на обследование. Жене 45 лет.,Срочное,Запись на прием
Срочно! Сильное носовое кровотечение не останавливается 30 минут.,Экстренное,Вызов врача
Отравление — рвота после ужина в кафе у всей семьи. Очень беспокоюсь.,Срочное,Вызов врача
"Добрый вечер. Нужен осмотр гинеколога раз в год, давно не была. Ребёнку 4 года.",Плановое,Запись на прием
"Сильная аллергическая реакция — лицо опухло, дышать сложнее. Что делать?",Экстренное,Вызов врача
"Запись к ревматологу — боли в суставах давние, плановая. Что делать?",Плановое,Запись на прием
"Добрый вечер. У ребёнка температура спала, но кашель остался — нужен педиатр.",Срочное,Запись на прием
"Здравствуйте! После укуса клеща — покраснение расширяется, беспокоит. Мужу 68 лет.",Срочное,Вызов врача
"У меня сильнейшая боль в груди отдаёт в руку, потею, тошнит. Это инфаркт? Как быть?",Экстренное,Перенаправление в экстренные службы
"Добрый вечер. Отец жалуется на онемение лица и руки, речь стала непонятной. Инсульт?",Экстренное,Перенаправление в экстренные службы
Добрый день! Варикоз — плановый осмотр флеболога и УЗИ сосудов. Как быть?,Плановое,Наблюдение
Добрый день! Аутоиммунный тиреоидит — контроль ТТГ и осмотр эндокринолога. Буду благодарен.,Плановое,Наблюдение
Ребёнок часто болеет ОРВИ — хотим к иммунологу. Как быть?,Срочное,Запись на прием
Хронический гастрит — ежегодная ФГДС по плану.,Плановое,Наблюдение
"Муж потерял сознание, дышит с трудом, губы посинели. Вызываю скорую или к вам? Прошу помочь.",Экстренное,Перенаправление в экстренные службы
"Бабушка не может встать с постели, жалуется на боль в голове и тошноту. Хронических болезней нет. Нужна ваша помощь.",Экстренное,Вызов врача
"У ребёнка температура спала, но кашель остался — нужен педиатр. Жене 45 лет. Очень беспокоюсь.",Срочное,Запись на прием
"Воспаление лимфоузла на шее — болит, растёт несколько дней. Ребёнку 4 года. Что делать?",Срочное,Вызов врача
"Аллергия на антибиотик — сыпь по всему телу, отёк, давление падает. Это опасно?",Экстренное,Перенаправление в экстренные службы
Нужен осмотр проктолога плановый — когда есть запись?,Плановое,Запись на прием
Нужна справка для работы — когда можно прийти к терапевту? Аллергии нет.,Плановое,Запись на прием
"Острый приступ подагры — нога опухла, красная, жар невыносимый.",Экстренное,Вызов врача
"Здравствуйте! Ребёнок захлебнулся водой в бассейне, откачали но он вялый и дышит плохо.",Экстренное,Перенаправление в экстренные службы
"Острая боль в животе невыносимая, живот твёрдый как доска.",Экстренное,Перенаправление в экстренные службы
Слух снизился на одно ухо — нужен ЛОР срочно. Буду благодарен.,Срочное,Запись на прием
Контрольный анализ крови после курса лечения антибиотиками. Ребёнку 4 года.,Плановое,Наблюдение
Осмотр у невролога раз в год по показаниям — запишите. Что посоветуете?,Плановое,Запись на прием
"Привет! Боль в животе справа ноющая уже сутки, усиливается.",Срочное,Вызов врача
Гипертония — плановый визит к кардиологу раз в квартал. Прошу помочь.,Плановое,Наблюдение
"Привет! Приступ эпилепсии прошёл, но пациент вялый и не в себе.",Срочное,Вызов врача
"Острая боль в ухе взрослого, несколько часов не проходит. Буду благодарен.",Срочное,Вызов врача
У меня низкий гемоглобин — что есть чтобы поднять? Я беременна 28 недель.,Консультационное,Консультация или вопрос
"Ребёнок засунул монету в нос, не дышит нормально, синеет. Бабушке 75.",Экстренное,Перенаправление в экстренные службы
"Воспаление лимфоузла на шее — болит, растёт несколько дней.",Срочное,Вызов врача
Помогите пожалуйста. Что значит повышенный холестерин в анализе крови? Буду благодарен.,Консультационное,Консультация или вопрос
Здравствуйте! Давно не был у стоматолога — хочу плановый осмотр.,Плановое,Запись на прием
"Добрый вечер. Рана на ноге краснеет и припухает, наверное инфицировалась.",Срочное,Вызов врача
"Диабетическая кома — сахар 0.8 по глюкометру, без сознания. Это опасно?",Экстренное,Перенаправление в экстренные службы
Привет! Папа жалуется на боли в груди при ходьбе по лестнице. Я беременна 28 недель.,Срочное,Вызов врача
"Помогите! Нужен осмотр гинеколога раз в год, давно не была.",Плановое,Запись на прием
Добрый вечер. После операции нужна проверка швов через месяц. Мужу 68 лет.,Плановое,Наблюдение
Помогите пожалуйста. Ребёнок со сколиозом — плановый осмотр ортопеда раз в 6 мес. Мужу 68 лет.,Плановое,Наблюдение
"Мне 40 лет, хочу пройти полное обследование профилактически. Аллергии нет. Подскажите пожалуйста.",Плановое,Запись на прием
После удаления желчного — плановое УЗИ и консультация хирурга. У меня диабет. Нужна ваша помощь.,Плановое,Наблюдение
"Сильный понос и рвота уже 6 часов, пил что-то сомнительное. Это опасно?",Срочное,Вызов врача
"Ребёнок засунул монету в нос, не дышит нормально, синеет. Что делать?",Экстренное,Перенаправление в экстренные службы
Острая боль в пояснице и кровь в моче — похоже на камень в почке. Подскажите пожалуйста.,Экстренное,Вызов врача
"Хочу провериться у уролога профилактически, мне 45. Мужу 68 лет.",Плановое,Запись на прием
Слух снизился на одно ухо — нужен ЛОР срочно. Мне 52 года.,Срочное,Запись на прием
Справка для водительских прав — к какому врачу? Подскажите пожалуйста.,Плановое,Запись на прием
У мамы давление нестабильное — запишите к кардиологу.,Срочное,Запись на прием
Добрый день! Варикоз — плановый осмотр флеболога и УЗИ сосудов. Аллергии нет.,Плановое,Наблюдение
"Острая боль в ухе у ребёнка ночью, плачет, температура 38.9. Ребёнку 4 года. Нужна ваша помощь.",Экстренное,Вызов врача
"Ребёнок подвернул ногу, плачет, наступить не может. Ребёнку 4 года.",Срочное,Вызов врача
Отёк Квинке — губы и язык отекли после еды в ресторане. Как быть?,Экстренное,Вызов врача
Боль при жевании и щелчки в челюсти — к стоматологу или ортодонту? Хронических болезней нет.,Срочное,Запись на прием
Хочу обсудить лечение бессонницы без снотворных. Нужна ваша помощь.,Консультационное,Запись на прием
Можно ли принимать ибупрофен и парацетамол одновременно? Бабушке 75.,Консультационное,Консультация или вопрос
"Температура держится 38.5 уже 4 дня, антибиотики не помогают.",Срочное,Вызов врача
Можно ли принимать магний при гипертонии? Жене 45 лет.,Консультационное,Консультация или вопрос
"Добрый вечер. Острая боль в ухе взрослого, несколько часов не проходит.",Срочное,Вызов врача
Ребёнок часто болеет ОРВИ — хотим к иммунологу. Я беременна 28 недель.,Срочное,Запись на прием
Добрый день! Хочу узнать какие прививки нужны перед поездкой в Азию. Буду благодарен.,Консультационное,Запись на прием
Диабет 2 типа — плановый контроль показателей каждые 3 месяца. Мне 35 лет.,Плановое,Наблюдение
"Воспаление после удаления зуба — щека опухла, пульсирует.",Срочное,Вызов врача
Нужен осмотр аллерголога весной перед сезоном.,Плановое,Запись на прием
Помогает ли валерьянка при бессоннице или лучше что-то другое?,Консультационное,Консультация или вопрос
"Зрение ухудшилось за последний месяц, запишите к офтальмологу.",Срочное,Запись на прием
"Срочно! Кожная сыпь не проходит 2 недели, зудит — запись к дерматологу.",Срочное,Запись на прием
"Мне 40 лет, хочу пройти полное обследование профилактически. Это опасно?",Плановое,Запись на прием
"Тромбоз — нога синяя холодная онемевшая, боль нарастает. Аллергии нет.",Экстренное,Перенаправление в экстренные службы
После операции неделю назад — шов разошёлся и гноится. Это опасно?,Экстренное,Вызов врача
Хочу пройти флюорографию — куда обратиться? Аллергии нет. Подскажите пожалуйста.,Плановое,Запись на прием
"Сильная аллергическая реакция — лицо опухло, дышать сложнее. Нужна ваша помощь.",Экстренное,Вызов врача
"Психотический эпизод у соседа, ведёт себя агрессивно, нужна помощь.",Экстренное,Вызов врача
Запись к офтальмологу для подбора очков — не срочно. Аллергии нет.,Плановое,Запись на прием
Гепатит С в ремиссии — плановое наблюдение гепатолога. Жене 45 лет.,Плановое,Наблюдение
Нужна консультация нутрициолога по рациону ребёнка. Бабушке 75.,Плановое,Запись на прием
Привет! Как правильно измерять давление? У меня всегда разные показатели.,Консультационное,Консультация или вопрос
Ребёнок идёт в первый класс — нужна медкомиссия.,Плановое,Запись на прием
Нужна консультация педиатра — ребёнок развивается нормально? У меня диабет. Прошу помочь.,Консультационное,Запись на прием
Привет! У мамы давление нестабильное — запишите к кардиологу. Прошу помочь.,Срочное,Запись на прием
"Привет! Резкое ухудшение зрения на один глаз — пелена, вспышки.",Экстренное,Вызов врача
Срочно! Ребёнок 3 года плохо ест — это нормально или нужно к врачу? Это опасно?,Консультационное,Консультация или вопрос
У мамы давление нестабильное — запишите к кардиологу. Что посоветуете?,Срочное,Запись на прием
Плановый осмотр у кардиолога раз в год — запишите пожалуйста. Буду благодарен.,Плановое,Запись на прием
"Обострение геморроя — боль сильная, кровотечение при туалете.",Срочное,Вызов врача
Здравствуйте! У мамы давление нестабильное — запишите к кардиологу. Мне 52 года.,Срочное,Запись на прием
Ребёнок со сколиозом — плановый осмотр ортопеда раз в 6 мес.,Плановое,Наблюдение
"Привет! Плановая колоноскопия — мне 50, врач рекомендовал.",Плановое,Запись на прием
Задержка менструации 2 месяца не беременна по тесту — к гинекологу.,Срочное,Запись на прием
"Помогите пожалуйста. Ребёнку 1 год — нужна плановая вакцинация, когда прийти? Ребёнку 4 года.",Плановое,Запись на прием
"Срочно! Ребёнок порезал ладонь глубоко, наложили повязку, кровит. Ребёнку 4 года.",Срочное,Вызов врача
Срочно! Можно ли смешивать разные мультивитамины? Нужна ваша помощь.,Консультационное,Консультация или вопрос
Мама жалуется на сильное головокружение и тошноту с утра. Буду благодарен.,Срочное,Вызов врача
"Помогите пожалуйста. Боль в суставе колена острая после тренировки, опухло.",Срочное,Вызов врача
Астма — плановый визит к пульмонологу для коррекции терапии.,Плановое,Наблюдение
"Помогите пожалуйста. Рана на ноге краснеет и припухает, наверное инфицировалась. Нужна ваша помощь.",Срочное,Вызов врача
Срочно! Мониторинг МРТ головного мозга через год после лечения.,Плановое,Наблюдение
Что такое ТТГ и почему он важен для щитовидки? Бабушке 75.,Консультационное,Консультация или вопрос
Срочно! Ребёнок аллергик — плановая консультация аллерголога весной. Мне 52 года.,Плановое,Наблюдение
Добрый день! Влияет ли стресс на повышение давления? Ребёнку 4 года.,Консультационное,Консультация или вопрос
Резкая потеря веса без причины — хочу записаться на обследование. Что делать?,Срочное,Запись на прием
"Привет! Острый цистит — жжение нестерпимое, кровь в моче. Очень беспокоюсь.",Срочное,Вызов врача
Ребёнку нужна справка в бассейн от педиатра. Это опасно?,Плановое,Запись на прием
Нужна консультация по ЗГТ при климаксе — к какому врачу?,Консультационное,Запись на прием
Добрый день! После инфаркта — плановая кардиореабилитация через 3 месяца. Прошу помочь.,Плановое,Наблюдение
Сильное жжение в желудке ночью — гастроэнтеролог нужен быстро. Ребёнку 4 года. Буду благодарен.,Срочное,Запись на прием
Обнаружила увеличенный лимфоузел в паху — к какому врачу? Что посоветуете?,Срочное,Запись на прием
Запись к офтальмологу для подбора очков — не срочно.,Плановое,Запись на прием
"Привет! После укуса клеща — покраснение расширяется, беспокоит. Жене 45 лет.",Срочное,Вызов врача
Помогите! Как правильно измерять давление? У меня всегда разные показатели.,Консультационное,Консультация или вопрос
Сахарный диабет — плановая консультация эндокринолога. Мужу 68 лет. Прошу помочь.,Плановое,Наблюдение
"Здравствуйте! Эклампсия у беременной — судороги, давление 190/120.",Экстренное,Перенаправление в экстренные службы
Консультация нефролога по результатам анализа мочи. Хронических болезней нет.,Консультационное,Запись на прием
"Сильная боль в горле, не могу глотать, температура 38.",Срочное,Вызов врача
Ребёнок заикается после испуга — нужен логопед или невролог?,Срочное,Запись на прием
"Помогите пожалуйста. Огнестрельное ранение случайное на охоте, много крови теряет.",Экстренное,Перенаправление в экстренные службы
Ожог на ладони от горячей сковороды — пузырь большой. Я беременна 28 недель. Как быть?,Срочное,Вызов врача
Боли в спине отдают в ногу — хочу попасть к неврологу скоро.,Срочное,Запись на прием
"Помогите! Сильный понос и рвота уже 6 часов, пил что-то сомнительное.",Срочное,Вызов врача
Обострение псориаза — хочу к дерматологу как можно скорее. Что делать?,Срочное,Запись на прием
Мама жалуется на сильное головокружение и тошноту с утра. У меня диабет. Нужна ваша помощь.,Срочное,Вызов врача
Жена беременная 32 недели — боли внизу живота схваткообразные. Что посоветуете?,Срочное,Вызов врача
Помогите пожалуйста. Онкология в ремиссии — плановый контрольный визит онколога. Что делать?,Плановое,Наблюдение
Справка для занятий спортом ребёнку от педиатра. Жене 45 лет. Что посоветуете?,Плановое,Запись на прием
Помогите пожалуйста. Слух снизился на одно ухо — нужен ЛОР срочно. Как быть?,Срочное,Запись на прием
Добрый день! Хочу поговорить с врачом о снижении дозы антидепрессантов. Как быть?,Консультационное,Запись на прием
Ребёнок часто болеет ОРВИ — хотим к иммунологу. Нужна ваша помощь.,Срочное,Запись на прием
"Привет! Внезапная слепота на один глаз, сейчас прошло но было минут 10. Ребёнку 4 года.",Экстренное,Перенаправление в экстренные службы
"Воспаление после удаления зуба — щека опухла, пульсирует.",Срочное,Вызов врача
Планирую беременность — хочу пройти обследование заранее. Я беременна 28 недель. Это опасно?,Плановое,Запись на прием
"Помогите пожалуйста. Подозреваю ангину — горло красное, налёт, температура 37.5.",Срочное,Запись на прием
"Кашель не проходит уже 3 недели, хочу провериться у терапевта. Что посоветуете?",Срочное,Запись на прием
Хочу получить направление к специалисту от терапевта. Очень беспокоюсь.,Консультационное,Запись на прием
"Добрый день! Бабушка не может встать с постели, жалуется на боль в голове и тошноту. Очень беспокоюсь.",Экстренное,Вызов врача
Помогите пожалуйста. Астма — плановый визит к пульмонологу для коррекции терапии. У меня диабет.,Плановое,Наблюдение
"Привет! Резкое ухудшение зрения на один глаз — пелена, вспышки.",Экстренное,Вызов врача
Астма — плановый визит к пульмонологу для коррекции терапии. Мне 52 года.,Плановое,Наблюдение
Привет! Плановое удаление родинки — запись к дерматологу.,Плановое,Запись на прием
"У ребёнка температура спала, но кашель остался — нужен педиатр. Я беременна 28 недель.",Срочное,Запись на прием
Помогите пожалуйста. Плановое УЗИ органов брюшной полости — направление нужно?,Плановое,Запись на прием
После травмы колено опухает — нужен ортопед или травматолог.,Срочное,Запись на прием
"Острая боль в животе невыносимая, живот твёрдый как доска. Хронических болезней нет.",Экстренное,Перенаправление в экстренные службы
"Аллергия на антибиотик — сыпь по всему телу, отёк, давление падает. Аллергии нет.",Экстренное,Перенаправление в экстренные службы
"Нужен осмотр гинеколога раз в год, давно не была. Как быть?",Плановое,Запись на прием
"Привет! Резаная рана на руке, кровь не останавливается уже 20 минут, пульсирует. Что посоветуете?",Экстренное,Перенаправление в экстренные службы
Плановый осмотр у кардиолога раз в год — запишите пожалуйста. Что посоветуете?,Плановое,Запись на прием
"Ребёнок 5 лет сильно ударился головой об угол, шишка растёт. Жене 45 лет.",Срочное,Вызов врача
Привет! После травмы колено опухает — нужен ортопед или травматолог. Мне 52 года.,Срочное,Запись на прием
"Добрый день! Острый цистит — жжение нестерпимое, кровь в моче. Буду благодарен.",Срочное,Вызов врача
Привет! Частые носовые кровотечения у ребёнка — к ЛОР или гематологу?,Срочное,Запись на прием
Плановый осмотр у эндокринолога — контроль щитовидки.,Плановое,Запись на прием
Добрый вечер. Хочу обсудить с кардиологом результаты ЭКГ — ничего не понял.,Консультационное,Запись на прием
"Приступ эпилепсии прошёл, но пациент вялый и не в себе. Буду благодарен.",Срочное,Вызов врача
Нашли повышенный сахар в аптеке — хочу к эндокринологу срочно. Очень беспокоюсь.,Срочное,Запись на прием
Онкология в ремиссии — плановый контрольный визит онколога.,Плановое,Наблюдение
Добрый день! Можно ли пить алкоголь во время приёма антибиотиков?,Консультационное,Консультация или вопрос
Помогите пожалуйста. Плановый осмотр у кардиолога раз в год — запишите пожалуйста.,Плановое,Запись на прием
Помогите! Жена беременная 32 недели — боли внизу живота схваткообразные.,Срочное,Вызов врача
Ребёнку нужна справка в бассейн от педиатра. Я беременна 28 недель. Что посоветуете?,Плановое,Запись на прием
Ребёнок идёт в первый класс — нужна медкомиссия. Хронических болезней нет.,Плановое,Запись на прием
"После инъекции инсулина муж стал неадекватным, трясётся. Ребёнку 4 года. Это опасно?",Экстренное,Вызов врача
"Передозировка — подруга выпила много таблеток, не реагирует на меня.",Экстренное,Перенаправление в экстренные службы
Срочно! Крапивница по всему телу после приёма нового лекарства.,Экстренное,Вызов врача
"Бабушка 82 года упала, ушиб бедра, ходит с трудом. Хронических болезней нет. Нужна ваша помощь.",Срочное,Вызов врача
Задержка менструации 2 месяца не беременна по тесту — к гинекологу.,Срочное,Запись на прием
Что делать при первых признаках простуды чтобы не разболеться?,Консультационное,Консультация или вопрос
Срочно! Запись к наркологу для консультации о зависимости — для друга. Нужна ваша помощь.,Консультационное,Запись на прием
"Привет! У меня сильная боль в груди слева уже час, нитроглицерин не помогает. Ребёнку 4 года.",Экстренное,Вызов врача
"Сильная рвота желчью уже 8 часов, обезвоживание видно.",Экстренное,Вызов врача
"Помогите пожалуйста. Боль в суставе колена острая после тренировки, опухло. Мне 35 лет.",Срочное,Вызов врача
"Обострение гастрита — боль сильная после еды, рвота.",Срочное,Вызов врача
"Добрый день! Внезапная слепота на один глаз, сейчас прошло но было минут 10. Жене 45 лет.",Экстренное,Перенаправление в экстренные службы
"Помогите! Мужу плохо после укуса пчелы — сыпь по всему телу, стонет.",Экстренное,Вызов врача
"Привет! Острый приступ астмы, ингалятор закончился, дышу с трудом. Аллергии нет.",Экстренное,Вызов врача
Боли в спине отдают в ногу — хочу попасть к неврологу скоро. Что посоветуете?,Срочное,Запись на прием
"Хочу провериться у уролога профилактически, мне 45. Мне 52 года.",Плановое,Запись на прием
Боль в правом подреберье после жирного — нужно УЗИ и гастроэнтеролог. Очень беспокоюсь.,Срочное,Запись на прием
"Ребёнок не дышит, посинел, делаю искусственное дыхание, нужна помощь. Очень беспокоюсь.",Экстренное,Перенаправление в экстренные службы
Привет! Плановое УЗИ органов брюшной полости — направление нужно?,Плановое,Запись на прием
Добрый вечер. Ребёнок обжёгся горячим чаем — покраснение на груди большое.,Экстренное,Вызов врача
Срочно! Слух снизился на одно ухо — нужен ЛОР срочно. Что делать?,Срочное,Запись на прием
Добрый вечер. Хочу поговорить с врачом о вреде курения и как бросить.,Консультационное,Запись на прием
"Добрый вечер. Острый панкреатит — боль опоясывающая невыносимая, рвёт.",Экстренное,Вызов врача
Добрый день! Хочу сдать гормоны щитовидной железы — нужно направление?,Плановое,Запись на прием
"Гипертонический криз — давление 200/110, болит голова, тошнит. Это опасно?",Экстренное,Вызов врача
"Эклампсия у беременной — судороги, давление 190/120.",Экстренное,Перенаправление в экстренные службы
Хочу получить второе мнение по поставленному диагнозу. Как быть?,Консультационное,Запись на прием
"Мне 40 лет, хочу пройти полное обследование профилактически. Нужна ваша помощь.",Плановое,Запись на прием
"Плановая колоноскопия — мне 50, врач рекомендовал. Подскажите пожалуйста.",Плановое,Запись на прием
Ребёнок заикается после испуга — нужен логопед или невролог? Что делать?,Срочное,Запись на прием
Варикоз — плановый осмотр флеболога и УЗИ сосудов.,Плановое,Наблюдение
"Нашла уплотнение в груди, хочу срочно попасть к маммологу. Прошу помочь.",Срочное,Запись на прием
"Добрый день! Сильная аллергическая реакция — лицо опухло, дышать сложнее. Я беременна 28 недель.",Экстренное,Вызов врача
Ребёнок заикается после испуга — нужен логопед или невролог? Как быть?,Срочное,Запись на прием
Как понять что у меня синдром раздражённого кишечника? Бабушке 75. Очень беспокоюсь.,Консультационное,Консультация или вопрос
Добрый вечер. Хочу пройти профилактический чекап — с чего начать?,Плановое,Запись на прием
Запись к офтальмологу для подбора очков — не срочно. Что посоветуете?,Плановое,Запись на прием
"Привет! Острый панкреатит — боль опоясывающая невыносимая, рвёт.",Экстренное,Вызов врача
"Здравствуйте! Хочу провериться у уролога профилактически, мне 45. Мне 52 года.",Плановое,Запись на прием
Папа жалуется на боли в груди при ходьбе по лестнице. Как быть?,Срочное,Вызов врача
